Rodada 1, Cliente 0, Epoca 44, G_loss 75.24613100556573, D_loss 1.564127666600186e-08, Tempo 14.638319730758667
Rodada 1, Cliente 1, Epoca 46, G_loss 100.0, D_loss 1.490049137942625e-07, Tempo 14.084574222564697
Rodada 1, Cliente 0, Epoca 45, G_loss 75.23404014561184, D_loss 1.3824945343542283e-08, Tempo 14.103212833404541
Rodada 1, Cliente 1, Epoca 47, G_loss 100.0, D_loss 1.2743336320734326e-07, Tempo 13.86092209815979
Rodada 1, Cliente 0, Epoca 46, G_loss 75.19544162291432, D_loss 1.2252624643786786e-08, Tempo 13.88041067123413
Rodada 1, Cliente 1, Epoca 48, G_loss 100.0, D_loss 1.09471425109127e-07, Tempo 13.790996789932251
Rodada 1, Cliente 0, Epoca 47, G_loss 75.19263041388128, D_loss 1.0782283836679377e-08, Tempo 14.292146444320679
Rodada 1, Cliente 1, Epoca 49, G_loss 100.0, D_loss 9.406397070231044e-08, Tempo 13.658627033233643
Rodada 1, Cliente 0, Epoca 48, G_loss 75.18657686947957, D_loss 9.49856902906777e-09, Tempo 14.205500364303589
Rodada 1, Cliente 1, Epoca 50, G_loss 100.0, D_loss 8.111481627346793e-08, Tempo 14.059391498565674
Rodada 1, Cliente 0, Epoca 49, G_loss 75.25482340285049, D_loss 8.32786564145679e-09, Tempo 13.547114849090576
Rodada 1, Cliente 0, Epoca 50, G_loss 75.23078100460091, D_loss 7.290589078608347e-09, Tempo 15.185854196548462
Rodada 2, Cliente 2, Epoca 1, G_loss 3.024454619442479, D_loss 43.55493861626444, Tempo 29.69568634033203
Rodada 2, Cliente 3, Epoca 1, G_loss 64.82957042016481, D_loss 47.27587760043772, Tempo 30.989504098892212
Rodada 2, Cliente 1, Epoca 1, G_loss 37.43191527511371, D_loss 0.14309122600976396, Tempo 44.73958349227905
Rodada 2, Cliente 0, Epoca 1, G_loss 1.3602136273682757, D_loss 49.06479219902832, Tempo 46.0811710357666
Rodada 2, Cliente 2, Epoca 2, G_loss 0.0, D_loss 50.0, Tempo 27.77302861213684
Rodada 2, Cliente 3, Epoca 2, G_loss 65.91829633210834, D_loss 48.91256308304636, Tempo 29.739399194717407
Rodada 2, Cliente 2, Epoca 3, G_loss 0.0, D_loss 50.0, Tempo 28.966498374938965
Rodada 2, Cliente 1, Epoca 2, G_loss 35.49334786031594, D_loss 7.993121864623701e-06, Tempo 44.1425940990448
Rodada 2, Cliente 0, Epoca 2, G_loss 0.0, D_loss 50.0, Tempo 44.92211699485779
Rodada 2, Cliente 3, Epoca 3, G_loss 65.93226876509817, D_loss 48.9093191849558, Tempo 29.811027765274048
Rodada 2, Cliente 2, Epoca 4, G_loss 0.0, D_loss 50.0, Tempo 27.71657919883728
Rodada 2, Cliente 3, Epoca 4, G_loss 65.91452540347451, D_loss 48.908323167499745, Tempo 31.253339529037476
Rodada 2, Cliente 1, Epoca 3, G_loss 18.899320680475743, D_loss 2.2425833063984637e-05, Tempo 44.29614782333374
Rodada 2, Cliente 0, Epoca 3, G_loss 0.0, D_loss 50.0, Tempo 46.706090211868286
Rodada 2, Cliente 2, Epoca 5, G_loss 0.0, D_loss 50.0, Tempo 27.981428384780884
Rodada 2, Cliente 3, Epoca 5, G_loss 65.92845699912624, D_loss 48.90997424878572, Tempo 29.725266456604004
Rodada 2, Cliente 2, Epoca 6, G_loss 0.0, D_loss 50.0, Tempo 28.979435443878174
Rodada 2, Cliente 1, Epoca 4, G_loss 12.461257255798557, D_loss 8.325071571254668e-06, Tempo 44.77227568626404
Rodada 2, Cliente 0, Epoca 4, G_loss 0.0, D_loss 50.0, Tempo 45.52686834335327
Rodada 2, Cliente 3, Epoca 6, G_loss 65.90680525930304, D_loss 48.90993136355751, Tempo 29.77200698852539
Rodada 2, Cliente 2, Epoca 7, G_loss 0.0, D_loss 50.0, Tempo 27.644200325012207
Rodada 2, Cliente 3, Epoca 7, G_loss 65.9302295885588, D_loss 48.91089278773258, Tempo 30.660199880599976
Rodada 2, Cliente 1, Epoca 5, G_loss 14.794111360434535, D_loss 2.8742916031270557e-06, Tempo 43.86775040626526
Rodada 2, Cliente 0, Epoca 5, G_loss 0.0, D_loss 50.0, Tempo 45.94568157196045
Rodada 2, Cliente 2, Epoca 8, G_loss 0.0, D_loss 50.0, Tempo 27.570048332214355
Rodada 2, Cliente 3, Epoca 8, G_loss 65.89367884585732, D_loss 48.913266031365644, Tempo 29.616486072540283
Rodada 2, Cliente 2, Epoca 9, G_loss 0.0, D_loss 50.0, Tempo 28.811650276184082
Rodada 2, Cliente 1, Epoca 6, G_loss 12.778872496716916, D_loss 4.000066153010758e-06, Tempo 44.03860092163086
Rodada 2, Cliente 0, Epoca 6, G_loss 0.0, D_loss 50.0, Tempo 45.559927225112915
Rodada 2, Cliente 3, Epoca 9, G_loss 65.92561352378443, D_loss 48.91479891726845, Tempo 29.566684246063232
