Cliente 2: Epoca: 14, D_loss: 0.0000, G_loss: 15.5858, Tempo: 2.3621
Cliente 2: Epoca: 15, D_loss: 0.0000, G_loss: 15.8241, Tempo: 3.5195
Cliente 2: Epoca: 16, D_loss: 0.0000, G_loss: 16.0577, Tempo: 2.8053
Cliente 2: Epoca: 17, D_loss: 0.0000, G_loss: 16.2019, Tempo: 2.6701
Cliente 2: Epoca: 18, D_loss: 0.0000, G_loss: 16.3760, Tempo: 2.0959
Cliente 2: Epoca: 19, D_loss: 0.0000, G_loss: 16.5148, Tempo: 2.3767
Cliente 2: Epoca: 20, D_loss: 0.0000, G_loss: 16.5962, Tempo: 3.4866
Cliente 2: Epoca: 21, D_loss: 0.0000, G_loss: 16.8131, Tempo: 2.3627
Cliente 2: Epoca: 22, D_loss: 0.0000, G_loss: 16.8668, Tempo: 2.3528
Cliente 2: Epoca: 23, D_loss: 0.0000, G_loss: 17.0398, Tempo: 2.6123
Cliente 2: Epoca: 24, D_loss: 0.0000, G_loss: 17.0788, Tempo: 2.6997
Cliente 2: Epoca: 25, D_loss: 0.0000, G_loss: 17.1931, Tempo: 4.0957
Cliente 2: Epoca: 26, D_loss: 0.0000, G_loss: 17.2745, Tempo: 2.5732
Cliente 2: Epoca: 27, D_loss: 0.0000, G_loss: 17.4071, Tempo: 2.7910
Cliente 2: Epoca: 28, D_loss: 0.0000, G_loss: 17.4667, Tempo: 2.4947
Cliente 2: Epoca: 29, D_loss: 0.0000, G_loss: 17.5263, Tempo: 2.3707
Cliente 2: Epoca: 30, D_loss: 0.0000, G_loss: 17.6499, Tempo: 3.5203
Cliente 2: Epoca: 31, D_loss: 0.0000, G_loss: 17.6988, Tempo: 2.8118
Cliente 2: Epoca: 32, D_loss: 0.0000, G_loss: 17.7645, Tempo: 2.6935
Cliente 2: Epoca: 33, D_loss: 0.0000, G_loss: 17.8269, Tempo: 2.1778
Cliente 2: Epoca: 34, D_loss: 0.0000, G_loss: 17.8942, Tempo: 2.2325
Cliente 2: Epoca: 35, D_loss: 0.0000, G_loss: 17.9730, Tempo: 3.5338
